업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,데이터기준일자
B,제조,B01,식품가공/제조,B01B18,수산물가공/저장처리-기타,2015-12-17
B,제조,B01,식품가공/제조,B01B19,과실/채소가공/저장처리-종합,2015-12-17
B,제조,B01,식품가공/제조,B01B20,과실통조림제조,2015-12-17
B,제조,B01,식품가공/제조,B01B21,김치제조,2015-12-17
B,제조,B01,식품가공/제조,B01B22,단무지제조,2015-12-17
B,제조,B01,식품가공/제조,B01B23,발효식품제조,2015-12-17
B,제조,B01,식품가공/제조,B01B24,과실/채소가공/저장처리-기타,2015-12-17
B,제조,B01,식품가공/제조,B01B25,동식물성유지제조-종합,2015-12-17
B,제조,B01,식품가공/제조,B01B26,동물성유지제조,2015-12-17
B,제조,B01,식품가공/제조,B01B27,식물성유지제조,2015-12-17
B,제조,B01,식품가공/제조,B01B28,식용유제조,2015-12-17
B,제조,B01,식품가공/제조,B01B29,동식물성유지제조-기타,2015-12-17
B,제조,B01,식품가공/제조,B01B30,낙농품제조-종합,2015-12-17
B,제조,B01,식품가공/제조,B01B31,우유제조,2015-12-17
B,제조,B01,식품가공/제조,B01B32,분유제조,2015-12-17
B,제조,B01,식품가공/제조,B01B33,생크림제조,2015-12-17
B,제조,B01,식품가공/제조,B01B34,유산균음료제조,2015-12-17
B,제조,B01,식품가공/제조,B01B35,아이스크림제조,2015-12-17
B,제조,B01,식품가공/제조,B01B36,빙과류제조,2015-12-17
B,제조,B01,식품가공/제조,B01B37,버터/치즈제조,2015-12-17
B,제조,B01,식품가공/제조,B01B38,낙농품제조-기타,2015-12-17
B,제조,B01,식품가공/제조,B01B39,곡물가공-종합,2015-12-17
B,제조,B01,식품가공/제조,B01B40,도정업,2015-12-17
B,제조,B01,식품가공/제조,B01B41,제분업,2015-12-17
B,제조,B01,식품가공/제조,B01B42,곡물가루제조,2015-12-17
B,제조,B01,식품가공/제조,B01B43,죽류제조,2015-12-17
B,제조,B01,식품가공/제조,B01B44,도시락제조,2015-12-17
B,제조,B01,식품가공/제조,B01B45,콘플레이크제조,2015-12-17
B,제조,B01,식품가공/제조,B01B46,곡물가공-기타,2015-12-17
B,제조,B01,식품가공/제조,B01B47,전분/당류제조-종합,2015-12-17
B,제조,B01,식품가공/제조,B01B48,전분제조,2015-12-17
B,제조,B01,식품가공/제조,B01B49,당류제조,2015-12-17
B,제조,B01,식품가공/제조,B01B50,전분/당류제조-기타,2015-12-17
B,제조,B01,식품가공/제조,B01B51,사료제조,2015-12-17
