시도코드,시도명,,시도코드,시도명,시군구코드,시군구명
11,서울특별시,,11,서울특별시,11110,종로구
26,부산광역시,,11,서울특별시,11140,중구
27,대구광역시,,11,서울특별시,11170,용산구
28,인천광역시,,11,서울특별시,11200,성동구
29,광주광역시,,11,서울특별시,11215,광진구
30,대전광역시,,11,서울특별시,11230,동대문구
31,울산광역시,,11,서울특별시,11260,중랑구
36,세종특별자치시,,11,서울특별시,11290,성북구
41,경기도,,11,서울특별시,11305,강북구
42,강원도,,11,서울특별시,11320,도봉구
43,충청북도,,11,서울특별시,11350,노원구
44,충청남도,,11,서울특별시,11380,은평구
45,전라북도,,11,서울특별시,11410,서대문구
46,전라남도,,11,서울특별시,11440,마포구
47,경상북도,,11,서울특별시,11470,양천구
48,경상남도,,11,서울특별시,11500,강서구
50,제주특별자치도,,11,서울특별시,11530,구로구
,,,11,서울특별시,11545,금천구
,,,11,서울특별시,11560,영등포구
,,,11,서울특별시,11590,동작구
,,,11,서울특별시,11620,관악구
,,,11,서울특별시,11650,서초구
,,,11,서울특별시,11680,강남구
,,,11,서울특별시,11710,송파구
,,,11,서울특별시,11740,강동구
,,,26,부산광역시,26110,중구
,,,26,부산광역시,26140,서구
,,,26,부산광역시,26170,동구
,,,26,부산광역시,26200,영도구
,,,26,부산광역시,26230,부산진구
,,,26,부산광역시,26260,동래구
,,,26,부산광역시,26290,남구
,,,26,부산광역시,26320,북구
,,,26,부산광역시,26350,해운대구
,,,26,부산광역시,26380,사하구
,,,26,부산광역시,26410,금정구
,,,26,부산광역시,26440,강서구
,,,26,부산광역시,26470,연제구
,,,26,부산광역시,26500,수영구
,,,26,부산광역시,26530,사상구
,,,26,부산광역시,26710,기장군
,,,27,대구광역시,27110,중구
,,,27,대구광역시,27140,동구
,,,27,대구광역시,27170,서구
,,,27,대구광역시,27200,남구
,,,27,대구광역시,27230,북구
,,,27,대구광역시,27260,수성구
,,,27,대구광역시,27290,달서구
,,,27,대구광역시,27710,달성군
,,,28,인천광역시,28110,중구
,,,28,인천광역시,28140,동구
,,,28,인천광역시,28170,남구
,,,28,인천광역시,28185,연수구
,,,28,인천광역시,28200,남동구
,,,28,인천광역시,28237,부평구
,,,28,인천광역시,28245,계양구
,,,28,인천광역시,28260,서구
,,,28,인천광역시,28710,강화군
,,,28,인천광역시,28720,옹진군
,,,29,광주광역시,29110,동구
,,,29,광주광역시,29140,서구
,,,29,광주광역시,29155,남구
,,,29,광주광역시,29170,북구
,,,29,광주광역시,29200,광산구
,,,30,대전광역시,30110,동구
,,,30,대전광역시,30140,중구
,,,30,대전광역시,30170,서구
,,,30,대전광역시,30200,유성구
,,,30,대전광역시,30230,대덕구
,,,31,울산광역시,31110,중구
,,,31,울산광역시,31140,남구
,,,31,울산광역시,31170,동구
,,,31,울산광역시,31200,북구
,,,31,울산광역시,31710,울주군
,,,36,세종특별자치시,36110,세종특별자치시
,,,41,경기도,41111,수원시 장안구
,,,41,경기도,41113,수원시 권선구
,,,41,경기도,41115,수원시 팔달구
,,,41,경기도,41117,수원시 영통구
,,,41,경기도,41131,성남시 수정구
,,,41,경기도,41133,성남시 중원구
,,,41,경기도,41135,성남시 분당구
,,,41,경기도,41150,의정부시
,,,41,경기도,41171,안양시 만안구
,,,41,경기도,41173,안양시 동안구
,,,41,경기도,41195,부천시 원미구
,,,41,경기도,41197,부천시 소사구
,,,41,경기도,41199,부천시 오정구
,,,41,경기도,41210,광명시
,,,41,경기도,41220,평택시
,,,41,경기도,41250,동두천시
,,,41,경기도,41271,안산시 상록구
,,,41,경기도,41273,안산시 단원구
,,,41,경기도,41281,고양시 덕양구
,,,41,경기도,41285,고양시 일산동구
,,,41,경기도,41287,고양시 일산서구
,,,41,경기도,41290,과천시
,,,41,경기도,41310,구리시
,,,41,경기도,41360,남양주시
,,,41,경기도,41370,오산시
,,,41,경기도,41390,시흥시
,,,41,경기도,41410,군포시
,,,41,경기도,41430,의왕시
,,,41,경기도,41450,하남시
,,,41,경기도,41461,용인시 처인구
,,,41,경기도,41463,용인시 기흥구
,,,41,경기도,41465,용인시 수지구
,,,41,경기도,41480,파주시
,,,41,경기도,41500,이천시
,,,41,경기도,41550,안성시
,,,41,경기도,41570,김포시
,,,41,경기도,41590,화성시
,,,41,경기도,41610,광주시
,,,41,경기도,41630,양주시
,,,41,경기도,41650,포천시
,,,41,경기도,41670,여주시
,,,41,경기도,41800,연천군
,,,41,경기도,41820,가평군
,,,41,경기도,41830,양평군
,,,42,강원도,42110,춘천시
,,,42,강원도,42130,원주시
,,,42,강원도,42150,강릉시
,,,42,강원도,42170,동해시
,,,42,강원도,42190,태백시
,,,42,강원도,42210,속초시
,,,42,강원도,42230,삼척시
,,,42,강원도,42720,홍천군
,,,42,강원도,42730,횡성군
,,,42,강원도,42750,영월군
,,,42,강원도,42760,평창군
,,,42,강원도,42770,정선군
,,,42,강원도,42780,철원군
,,,42,강원도,42790,화천군
,,,42,강원도,42800,양구군
,,,42,강원도,42810,인제군
,,,42,강원도,42820,고성군
,,,42,강원도,42830,양양군
,,,43,충청북도,43111,청주시 상당구
,,,43,충청북도,43112,청주시 서원구
,,,43,충청북도,43113,청주시 흥덕구
,,,43,충청북도,43114,청주시 청원구
,,,43,충청북도,43130,충주시
,,,43,충청북도,43150,제천시
,,,43,충청북도,43720,보은군
,,,43,충청북도,43730,옥천군
,,,43,충청북도,43740,영동군
,,,43,충청북도,43750,진천군
,,,43,충청북도,43760,괴산군
,,,43,충청북도,43770,음성군
,,,43,충청북도,43785,증평군
,,,43,충청북도,43800,단양군
,,,44,충청남도,44131,천안시 동남구
,,,44,충청남도,44133,천안시 서북구
,,,44,충청남도,44150,공주시
,,,44,충청남도,44180,보령시
,,,44,충청남도,44200,아산시
,,,44,충청남도,44210,서산시
,,,44,충청남도,44230,논산시
,,,44,충청남도,44250,계룡시
,,,44,충청남도,44270,당진시
,,,44,충청남도,44710,금산군
,,,44,충청남도,44760,부여군
,,,44,충청남도,44770,서천군
,,,44,충청남도,44790,청양군
,,,44,충청남도,44800,홍성군
,,,44,충청남도,44810,예산군
,,,44,충청남도,44825,태안군
,,,45,전라북도,45111,전주시 완산구
,,,45,전라북도,45113,전주시 덕진구
,,,45,전라북도,45130,군산시
,,,45,전라북도,45140,익산시
,,,45,전라북도,45180,정읍시
,,,45,전라북도,45190,남원시
,,,45,전라북도,45210,김제시
,,,45,전라북도,45710,완주군
,,,45,전라북도,45720,진안군
,,,45,전라북도,45730,무주군
,,,45,전라북도,45740,장수군
,,,45,전라북도,45750,임실군
,,,45,전라북도,45770,순창군
,,,45,전라북도,45790,고창군
,,,45,전라북도,45800,부안군
,,,46,전라남도,46110,목포시
,,,46,전라남도,46130,여수시
,,,46,전라남도,46150,순천시
,,,46,전라남도,46170,나주시
,,,46,전라남도,46230,광양시
,,,46,전라남도,46710,담양군
,,,46,전라남도,46720,곡성군
,,,46,전라남도,46730,구례군
,,,46,전라남도,46770,고흥군
,,,46,전라남도,46780,보성군
,,,46,전라남도,46790,화순군
,,,46,전라남도,46800,장흥군
,,,46,전라남도,46810,강진군
,,,46,전라남도,46820,해남군
